date,open,high,low,close,amount_yi,pe
2015-01-01,1914.46,1932.42,1879.21,1929.59,154.61,
2015-01-05,1914.46,1932.42,1879.21,1929.59,154.61,
2015-01-06,1919.57,2001.56,1919.57,1998.71,170.59,
2015-01-07,1996.79,1998.1,1974.97,1988.58,130.81,
2015-01-08,1986.67,2023.85,1986.67,2004.36,138.89,
2015-01-09,1996.38,2050.89,1996.38,2009.8,164.06,
2015-01-12,2005.99,2041.79,2005.99,2033.86,147.0,
2015-01-13,2040.48,2111.29,2038.81,2105.65,212.28,
2015-01-14,2113.06,2113.06,2081.77,2090.5,174.63,
2015-01-15,2087.16,2115.33,2087.16,2103.31,144.91,
2015-01-16,2105.63,2184.93,2105.63,2176.32,199.86,
2015-01-19,2134.39,2220.7,2106.49,2145.18,262.41,
2015-01-20,2160.02,2265.19,2160.02,2265.19,278.57,
2015-01-21,2271.52,2289.2,2268.08,2288.97,291.57,
2015-01-22,2289.07,2326.85,2284.07,2323.69,267.26,
2015-01-23,2323.56,2323.56,2265.9,2268.15,257.34,
2015-01-26,2281.9,2341.58,2281.9,2341.21,231.59,
2015-01-27,2350.88,2366.34,2327.79,2363.51,252.56,
2015-01-28,2352.87,2369.83,2325.2,2328.54,231.6,
2015-01-29,2305.35,2335.03,2305.35,2316.2,173.87,
2015-01-30,2316.25,2318.71,2249.37,2249.37,192.51,
2015-02-02,2228.83,2292.03,2228.83,2278.5,156.17,
2015-02-03,2289.32,2379.33,2289.32,2362.19,251.4,
2015-02-04,2368.85,2393.67,2368.85,2374.83,224.02,
2015-02-05,2383.11,2450.69,2379.76,2394.21,283.65,
2015-02-06,2396.23,2407.87,2330.26,2337.23,221.78,
2015-02-09,2336.47,2364.82,2300.18,2303.66,172.57,
2015-02-10,2299.68,2381.7,2295.0,2381.7,177.26,
2015-02-11,2386.9,2453.11,2386.9,2447.01,229.41,
2015-02-12,2454.51,2483.86,2454.51,2474.47,237.85,
2015-02-13,2489.39,2526.85,2489.39,2525.72,251.68,
2015-02-16,2539.41,2644.08,2539.41,2644.08,309.31,
2015-02-17,2660.52,2660.52,2608.42,2641.74,247.71,
2015-02-25,2643.53,2647.4,2579.4,2590.33,231.35,
2015-02-26,2586.43,2609.21,2553.36,2608.61,230.81,
2015-02-27,2607.19,2645.35,2600.64,2638.46,251.96,
2015-03-02,2638.67,2687.47,2626.5,2682.96,327.72,
2015-03-03,2655.78,2690.76,2639.73,2639.73,341.79,
2015-03-04,2640.57,2700.02,2640.57,2700.02,297.55,
2015-03-05,2702.17,2709.14,2684.98,2705.64,321.51,
2015-03-06,2706.89,2714.34,2624.35,2625.51,275.24,
2015-03-09,2613.54,2681.08,2613.54,2680.92,243.57,
2015-03-10,2688.34,2751.14,2688.34,2742.75,284.03,
2015-03-11,2744.8,2744.8,2713.74,2720.43,277.53,
2015-03-12,2720.16,2736.62,2666.38,2708.95,252.74,
2015-03-13,2715.96,2762.76,2705.76,2760.42,255.75,
2015-03-16,2790.28,2881.27,2790.28,2877.18,382.62,
2015-03-17,2893.28,2911.13,2861.4,2892.76,390.53,
2015-03-18,2892.22,2964.06,2871.24,2958.28,385.14,
2015-03-19,2965.35,2976.75,2938.98,2969.45,363.37,
2015-03-20,2966.32,3046.16,2966.32,3020.78,413.15,
2015-03-23,3041.23,3135.42,3041.23,3135.42,466.36,
2015-03-24,3158.6,3222.92,3076.75,3217.84,567.71,
2015-03-25,3232.06,3287.58,3214.51,3253.71,564.33,
2015-03-26,3224.1,3224.1,3076.5,3087.19,460.42,
2015-03-27,3079.21,3140.7,3079.21,3134.27,314.15,
2015-03-30,3138.44,3153.93,3089.91,3119.73,342.38,
2015-03-31,3122.61,3212.37,3122.61,3181.96,403.64,
2015-04-01,3174.81,3260.71,3174.81,3255.42,361.88,
2015-04-02,3272.03,3345.86,3272.03,3345.86,456.33,
2015-04-03,3325.45,3367.87,3325.45,3360.02,398.06,
2015-04-07,3374.76,3410.21,3374.06,3410.21,444.98,
2015-04-08,3417.99,3417.99,3265.0,3324.41,464.36,
2015-04-09,3317.25,3317.25,3159.15,3307.95,434.74,
2015-04-10,3289.52,3394.61,3289.52,3383.36,391.97,
2015-04-13,3400.49,3452.98,3381.83,3436.11,432.78,
2015-04-14,3439.28,3439.28,3395.32,3396.22,392.8,
2015-04-15,3390.63,3390.63,3249.23,3249.23,363.49,
2015-04-16,3207.53,3299.37,3205.41,3268.01,293.49,
2015-04-17,3289.62,3293.8,3255.68,3257.63,323.58,
2015-04-20,3237.88,3243.56,3174.01,3185.57,324.45,
2015-04-21,3198.19,3345.39,3198.19,3345.39,362.24,
2015-04-22,3377.21,3432.66,3377.21,3432.66,438.34,
2015-04-23,3449.55,3492.16,3437.94,3479.85,446.36,
2015-04-24,3444.86,3556.78,3444.86,3552.63,518.33,
2015-04-27,3601.71,3624.56,3543.43,3546.44,480.09,
2015-04-28,3560.06,3560.06,3404.59,3441.89,490.46,
2015-04-29,3415.1,3540.56,3415.1,3540.48,386.64,
2015-04-30,3564.15,3648.57,3564.15,3568.6,457.68,
2015-05-04,3564.27,3564.27,3489.72,3559.57,370.38,
2015-05-05,3552.58,3558.69,3442.25,3462.27,368.84,
2015-05-06,3485.45,3610.53,3485.45,3517.64,444.94,
2015-05-07,3486.65,3537.9,3486.65,3503.63,382.77,
2015-05-08,3549.6,3722.66,3549.6,3722.66,527.92,
2015-05-11,3782.47,3952.1,3774.05,3945.14,653.76,
