date,open,high,low,close,amount_yi,pe
2015-01-01,1112.79,1122.11,1089.68,1120.29,54.58,
2015-01-05,1112.79,1122.11,1089.68,1120.29,54.58,
2015-01-06,1114.66,1153.48,1114.66,1153.48,67.66,
2015-01-07,1153.85,1154.45,1138.41,1142.74,46.27,
2015-01-08,1139.64,1153.19,1133.86,1141.58,43.45,
2015-01-09,1137.74,1152.0,1132.44,1132.44,44.81,
2015-01-12,1127.6,1132.23,1120.26,1124.42,35.83,
2015-01-13,1122.29,1159.74,1122.29,1159.74,49.85,
2015-01-14,1158.31,1165.2,1153.05,1157.42,40.21,
2015-01-15,1156.47,1161.3,1152.39,1156.82,32.56,
2015-01-16,1160.02,1176.82,1160.02,1173.4,47.93,
2015-01-19,1150.71,1188.97,1133.57,1146.18,61.92,
2015-01-20,1150.69,1199.34,1150.69,1199.34,64.96,
2015-01-21,1207.41,1220.16,1206.56,1218.85,81.65,41.71
2015-01-22,1220.58,1233.92,1216.65,1231.84,62.66,42.15
2015-01-23,1233.3,1233.3,1216.54,1217.17,81.87,41.7
2015-01-26,1216.54,1237.22,1216.54,1237.09,71.63,42.42
2015-01-27,1239.3,1239.3,1219.25,1233.35,68.89,42.33
2015-01-28,1231.35,1245.97,1229.13,1234.47,70.54,42.38
2015-01-29,1228.51,1244.55,1228.51,1238.59,73.22,42.49
2015-01-30,1245.23,1245.42,1226.2,1226.23,68.16,42.04
2015-02-02,1211.71,1220.59,1207.38,1209.75,50.71,41.48
2015-02-03,1217.57,1240.46,1217.57,1236.15,63.4,42.39
2015-02-04,1240.35,1259.9,1238.79,1246.51,84.81,42.75
2015-02-05,1252.74,1269.23,1247.0,1247.77,95.24,42.96
2015-02-06,1244.93,1250.9,1220.0,1220.35,74.54,41.99
2015-02-09,1218.88,1226.64,1195.09,1197.84,54.14,41.17
2015-02-10,1198.02,1215.83,1195.43,1215.83,41.74,41.82
2015-02-11,1216.03,1230.58,1215.92,1222.53,46.2,42.04
2015-02-12,1225.59,1239.32,1225.53,1234.05,60.89,42.48
2015-02-13,1238.59,1256.05,1238.59,1250.43,63.32,43.06
2015-02-16,1254.65,1280.27,1253.48,1278.76,73.88,44.02
2015-02-17,1282.98,1284.6,1270.86,1277.3,60.14,43.97
2015-02-25,1281.12,1301.44,1279.96,1291.39,69.29,44.44
2015-02-26,1290.63,1295.13,1279.19,1295.13,66.34,44.59
2015-02-27,1295.87,1327.3,1295.86,1324.88,102.18,45.55
2015-03-02,1329.96,1348.29,1324.12,1348.07,109.15,46.31
2015-03-03,1342.5,1348.12,1324.81,1324.88,105.17,45.56
2015-03-04,1328.3,1351.01,1328.02,1351.01,91.69,46.44
2015-03-05,1357.62,1366.24,1349.91,1362.5,107.31,46.82
2015-03-06,1364.0,1364.27,1337.7,1342.27,102.34,46.13
2015-03-09,1335.08,1406.89,1330.52,1400.93,131.67,48.03
2015-03-10,1404.07,1411.04,1398.57,1408.95,117.88,48.29
2015-03-11,1411.58,1411.85,1384.91,1393.66,109.93,47.67
2015-03-12,1396.05,1409.06,1370.89,1386.94,104.61,47.55
2015-03-13,1390.02,1401.42,1379.18,1401.1,88.08,48.03
2015-03-16,1410.66,1442.66,1410.66,1442.18,135.86,49.48
2015-03-17,1446.09,1471.56,1437.51,1456.27,161.44,49.95
2015-03-18,1460.64,1490.21,1454.14,1490.21,154.7,51.21
2015-03-19,1492.05,1509.7,1484.1,1504.28,153.63,51.77
2015-03-20,1498.83,1516.46,1490.8,1509.76,154.89,51.91
2015-03-23,1513.52,1549.99,1513.32,1549.99,177.77,53.31
2015-03-24,1560.98,1628.44,1538.22,1628.07,267.01,56.13
2015-03-25,1634.32,1696.73,1621.39,1671.29,280.35,57.52
2015-03-26,1672.51,1691.89,1603.0,1626.56,239.72,55.97
2015-03-27,1616.42,1646.37,1605.66,1634.55,153.82,56.3
2015-03-30,1635.44,1655.81,1620.75,1635.49,164.6,56.36
2015-03-31,1636.45,1664.8,1622.2,1645.39,163.1,56.66
2015-04-01,1645.61,1692.39,1644.9,1688.6,143.38,58.18
2015-04-02,1700.92,1726.0,1694.64,1726.0,188.79,59.44
2015-04-03,1716.86,1745.3,1703.44,1744.34,167.66,60.06
2015-04-07,1750.77,1768.38,1737.39,1768.14,188.5,60.94
2015-04-08,1771.36,1772.02,1698.78,1735.82,195.07,57.39
2015-04-09,1732.46,1733.59,1653.22,1702.54,176.05,56.26
2015-04-10,1696.9,1749.71,1690.32,1746.32,140.2,57.66
2015-04-13,1765.65,1786.12,1749.4,1782.53,174.86,61.29
2015-04-14,1784.13,1803.16,1767.25,1778.83,181.3,61.15
2015-04-15,1774.94,1785.73,1731.62,1731.84,196.6,59.47
2015-04-16,1700.12,1755.98,1686.32,1738.88,157.91,59.82
2015-04-17,1758.19,1767.46,1734.12,1735.84,176.56,59.77
2015-04-20,1728.16,1737.49,1690.05,1697.14,175.76,58.52
2015-04-21,1703.24,1744.67,1691.39,1744.61,142.12,58.46
2015-04-22,1758.46,1796.55,1757.83,1788.97,180.69,61.72
2015-04-23,1805.07,1849.43,1803.43,1829.52,211.84,62.94
2015-04-24,1824.98,1849.91,1802.82,1837.09,206.2,63.2
2015-04-27,1850.24,1863.16,1816.6,1834.65,198.68,63.18
2015-04-28,1835.85,1838.21,1746.13,1760.75,190.7,60.6
2015-04-29,1756.38,1815.56,1755.47,1807.98,160.27,62.19
2015-04-30,1813.06,1827.72,1803.18,1803.99,160.01,61.99
2015-05-04,1807.95,1856.13,1796.94,1849.14,156.82,68.18
2015-05-05,1851.71,1910.31,1839.5,1857.41,216.95,66.67
2015-05-06,1873.22,1921.85,1865.52,1886.36,248.66,67.62
2015-05-07,1867.41,1873.82,1780.69,1780.92,176.54,64.13
2015-05-08,1794.37,1877.84,1794.37,1877.17,190.98,67.43
2015-05-11,1898.37,1994.24,1891.29,1987.53,246.23,71.15
2015-05-12,1998.33,2022.06,1963.89,2013.78,259.86,72.28
2015-05-13,1992.81,2030.46,1962.22,2004.49,229.95,72.82
2015-05-14,2005.25,2078.76,2001.38,2056.85,233.19,74.74
2015-05-15,2048.46,2048.46,1991.52,2014.84,197.66,73.38
2015-05-18,2019.58,2068.52,2017.47,2057.5,182.59,74.96
2015-05-19,2074.25,2166.95,2041.29,2166.95,244.14,78.98
2015-05-20,2216.82,2309.46,2216.62,2252.55,319.98,81.86
2015-05-21,2278.56,2365.45,2274.36,2364.23,311.0,85.56
2015-05-22,2404.79,2422.38,2302.69,2362.23,338.07,85.4
2015-05-25,2315.91,2406.02,2288.84,2387.83,280.08,86.42
2015-05-26,2405.63,2503.08,2405.39,2490.22,310.22,89.63
2015-05-27,2517.81,2572.29,2442.47,2556.25,311.01,92.14
2015-05-28,2552.43,2648.56,2416.18,2416.35,357.72,87.0
2015-05-29,2433.41,2532.57,2317.84,2485.89,336.94,89.54
2015-06-01,2515.91,2656.72,2514.32,2656.72,346.73,95.67
2015-06-02,2689.09,2832.29,2681.72,2832.29,374.24,102.08
2015-06-03,2877.56,2911.17,2759.46,2868.92,414.16,102.78
2015-06-04,2866.56,2866.56,2628.48,2817.97,334.53,100.43
2015-06-05,2851.42,2903.34,2757.83,2798.03,350.3,99.68
2015-06-08,2799.96,2799.99,2637.15,2654.16,313.43,94.86
2015-06-09,2640.96,2728.32,2618.95,2696.5,265.32,96.42
2015-06-10,2699.33,2821.07,2676.75,2782.83,305.82,99.63
2015-06-11,2778.28,2805.54,2751.92,2797.43,256.74,99.19
2015-06-12,2826.73,2850.38,2800.07,2820.81,271.69,98.8
2015-06-15,2836.97,2847.15,2740.38,2746.83,280.49,93.08
2015-06-16,2715.89,2715.89,2593.7,2632.35,291.24,88.95
2015-06-17,2621.92,2694.27,2533.44,2682.85,252.0,90.59
2015-06-18,2674.01,2697.27,2572.45,2579.24,240.98,87.06
2015-06-19,2510.04,2541.62,2404.95,2406.47,207.59,81.17
2015-06-23,2391.82,2429.03,2252.54,2428.6,208.86,82.1
2015-06-24,2451.56,2500.85,2408.28,2475.91,216.26,83.62
